date,r1,r2,r3,r4,r5,r6,blue
2017-04-30,1,8,14,15,20,29,10
2017-05-02,10,12,20,24,27,29,7
2017-05-04,2,5,9,15,24,25,11
2017-05-07,7,8,18,24,29,31,7
2017-05-09,4,9,11,15,29,31,6
2017-05-11,2,3,9,23,28,33,8
2017-05-14,7,12,13,20,24,31,5
2017-05-16,13,14,18,19,21,28,6
2017-05-18,18,20,22,23,30,31,16
2017-05-21,1,9,13,22,28,32,11
2017-05-23,4,8,9,15,19,25,9
2017-05-25,5,10,13,24,26,31,4
2017-05-28,6,7,12,20,26,27,11
2017-05-30,1,7,22,24,26,31,10
2017-06-01,12,16,20,22,25,31,4
2017-06-04,2,10,16,22,24,28,15
2017-06-06,2,5,8,10,12,21,7
2017-06-08,1,4,6,17,19,26,3
2017-06-11,1,3,4,10,18,29,4
2017-06-13,2,6,10,22,30,31,15
2017-06-15,2,11,12,23,29,31,5
2017-06-18,1,6,14,22,25,26,12
2017-06-20,2,3,6,14,31,32,3
2017-06-22,6,11,14,23,26,30,2
2017-06-25,3,6,16,23,26,30,14
2017-06-27,2,6,16,23,30,31,2
2017-06-29,1,3,6,19,21,29,7
2017-07-02,1,4,8,9,14,15,13
2017-07-04,1,2,4,15,17,22,14
2017-07-06,5,7,18,19,22,24,16
2017-07-09,3,7,14,23,25,27,8
2017-07-11,1,12,16,20,22,24,8
2017-07-13,3,5,14,25,26,30,5
2017-07-16,14,18,21,25,28,29,10
2017-07-18,3,8,14,20,24,26,12
2017-07-20,1,5,11,20,22,24,2
2017-07-23,1,5,6,16,25,30,9
2017-07-25,3,5,6,13,20,22,7
2017-07-27,3,6,13,14,19,28,6
2017-07-30,7,9,18,22,23,29,6
2017-08-01,11,12,13,16,23,25,12
2017-08-03,1,7,10,16,22,33,9
2017-08-06,5,7,10,23,28,29,3
2017-08-08,10,18,19,29,32,33,9
2017-08-10,7,8,9,15,22,27,12
2017-08-13,8,11,13,19,28,31,6
2017-08-15,9,10,12,19,22,29,16
2017-08-17,2,6,11,12,19,29,6
2017-08-20,5,10,18,19,30,31,3
2017-08-22,4,19,22,27,30,33,1
2017-08-24,2,5,6,16,28,29,4
2017-08-27,4,7,8,18,23,24,2
2017-08-29,1,4,11,28,31,32,16
2017-08-31,4,8,10,14,18,20,11
2017-09-03,1,21,23,25,31,33,1
2017-09-05,1,14,15,20,23,30,14
2017-09-07,3,6,7,12,25,26,7
2017-09-10,12,15,20,25,27,31,2
2017-09-12,8,9,15,17,30,32,6
2017-09-14,7,12,14,15,17,20,1
2017-09-17,8,14,16,18,21,23,16
2017-09-19,1,3,12,15,19,23,14
2017-09-21,5,10,17,19,29,32,12
2017-09-24,3,10,14,16,22,23,11
2017-09-26,4,6,16,27,29,33,5
2017-09-28,6,12,13,15,18,26,13
2017-10-01,4,10,11,25,30,31,1
2017-10-03,2,14,20,22,30,32,2
2017-10-05,1,2,8,11,14,21,9
2017-10-08,8,9,15,22,30,33,16
2017-10-10,9,16,21,25,26,31,14
2017-10-12,8,10,15,19,23,28,16
2017-10-15,11,18,19,22,24,32,7
2017-10-17,11,20,21,22,24,27,15
2017-10-19,4,5,6,11,21,31,10
2017-10-22,2,6,11,26,28,29,3
2017-10-24,1,14,23,25,29,30,3
2017-10-26,1,16,17,21,27,30,16
2017-10-29,14,15,21,24,27,32,12
2017-10-31,2,6,13,22,29,31,8
2017-11-02,5,6,9,14,21,33,2
2017-11-05,5,13,14,23,25,31,2
2017-11-07,1,7,10,11,26,27,11
2017-11-09,2,3,5,9,13,28,11
2017-11-12,6,15,17,18,23,30,11
2017-11-14,4,5,11,14,28,32,4
2017-11-16,1,6,7,14,18,26,16
2017-11-19,3,7,10,18,21,24,12
2017-11-21,5,10,20,23,26,31,3
2017-11-23,1,17,24,28,32,33,2
2017-11-26,2,14,20,24,28,32,16
2017-11-28,21,22,25,28,29,30,8
2017-11-30,1,6,7,11,13,15,5
2017-12-03,8,13,14,18,23,33,6
2017-12-05,4,6,9,14,20,29,14
2017-12-07,3,14,16,20,31,32,9
2017-12-10,2,6,12,17,25,28,12
2017-12-12,1,19,25,26,27,33,10
2017-12-14,3,7,20,21,25,31,14
2017-12-17,4,7,11,14,29,32,12
2017-12-19,5,8,15,20,27,30,13
2017-12-21,6,14,19,20,21,23,8
2017-12-24,2,5,7,9,11,27,16
2017-12-26,6,10,23,25,26,29,5
2017-12-28,7,11,12,13,18,19,16
2017-12-31,5,9,13,15,18,26,5
2018-01-02,1,8,11,26,28,31,4
2018-01-04,7,18,24,29,31,33,16
2018-01-07,1,14,16,17,20,31,4
2018-01-09,14,18,19,26,30,31,11
2018-01-11,2,20,21,28,31,33,6
2018-01-14,2,7,8,9,17,29,11
2018-01-16,13,14,20,25,27,31,12
2018-01-18,5,9,10,12,17,19,13
2018-01-21,5,10,17,23,26,32,7
2018-01-23,1,8,17,20,21,22,3
2018-01-25,3,10,21,23,27,33,11
2018-01-28,11,12,13,19,26,28,12
2018-01-30,6,8,13,15,22,33,6
2018-02-01,9,12,20,24,28,31,7
2018-02-04,11,15,20,21,26,33,15
2018-02-06,1,11,12,18,25,27,16
2018-02-08,3,6,11,26,30,32,12
2018-02-11,2,12,13,18,25,27,7
2018-02-13,3,11,12,16,21,23,9
2018-02-22,6,9,10,14,28,30,5
2018-02-25,3,4,6,11,23,28,14
2018-02-27,7,14,19,21,22,23,3
2018-03-01,12,15,16,21,26,29,16
2018-03-04,11,19,22,26,31,32,2
2018-03-06,4,13,16,19,21,25,14
2018-03-08,4,7,12,14,26,32,4
2018-03-11,2,7,9,14,18,28,5
2018-03-13,3,8,11,14,18,23,16
2018-03-15,1,2,9,14,22,25,5
2018-03-18,13,14,20,21,25,33,7
2018-03-20,2,16,18,19,27,30,14
2018-03-22,21,22,23,24,25,32,6
2018-03-25,4,19,20,22,28,33,6
2018-03-27,1,5,11,22,23,26,15
2018-03-29,7,10,11,17,23,28,15
2018-04-01,8,17,24,26,28,33,4
2018-04-03,1,6,7,8,27,30,10
2018-04-05,15,23,24,25,28,29,9
2018-04-08,8,12,18,19,23,32,3
2018-04-10,1,3,8,13,18,23,16
2018-04-12,7,8,20,23,24,32,13
2018-04-15,6,10,21,28,29,31,12
2018-04-17,1,4,6,8,21,24,7
2018-04-19,5,9,12,17,27,30,6
2018-04-22,3,4,6,25,26,30,1
2018-04-24,10,13,14,18,20,31,3
2018-04-26,6,7,12,16,22,25,7
2018-04-29,1,12,20,25,30,31,2
2018-05-01,1,3,4,11,19,23,2
2018-05-03,1,2,4,10,18,19,7
2018-05-06,5,7,20,23,27,31,4
2018-05-08,3,5,6,9,15,32,14
2018-05-10,1,4,10,11,14,27,6
2018-05-13,4,6,18,22,25,33,16
2018-05-15,7,9,10,12,22,26,7
2018-05-17,1,3,6,20,21,26,1
2018-05-20,5,15,17,19,20,30,13
2018-05-22,7,12,13,16,26,31,7
2018-05-24,4,6,8,13,22,32,11
2018-05-27,4,8,13,25,30,31,10
2018-05-29,9,10,11,12,18,23,7
2018-05-31,2,18,19,24,25,33,11
2018-06-03,5,6,10,16,20,25,12
2018-06-05,2,5,10,11,17,21,5
2018-06-07,1,4,6,14,28,33,1
2018-06-10,9,16,17,19,22,26,10
2018-06-12,1,4,9,12,15,18,5
2018-06-14,8,10,17,20,27,30,1
2018-06-17,6,13,17,19,23,31,12
2018-06-19,4,9,15,16,19,27,10
2018-06-21,2,5,6,13,16,19,3
2018-06-24,11,16,19,22,25,30,8
2018-06-26,2,9,14,15,16,23,10
2018-06-28,9,11,14,20,27,30,9
2018-07-01,7,9,12,13,22,24,11
2018-07-03,3,7,8,15,29,30,13
2018-07-05,2,5,9,15,20,24,10
2018-07-08,3,10,14,17,18,30,12
2018-07-10,14,15,17,22,24,29,13
2018-07-12,4,7,13,20,29,33,3
2018-07-15,1,2,12,16,20,26,3
2018-07-17,6,12,14,20,22,24,9
2018-07-19,4,9,18,21,32,33,3
2018-07-22,5,6,8,12,22,24,3
2018-07-24,4,10,25,26,30,33,6
2018-07-26,2,7,17,21,23,26,16
2018-07-29,1,5,10,16,18,31,3
2018-07-31,3,5,12,29,30,32,14
2018-08-02,6,9,12,14,18,27,14
2018-08-05,1,2,4,10,14,23,7
2018-08-07,6,11,13,17,25,32,7
2018-08-09,6,10,16,19,24,33,16
2018-08-12,4,18,20,21,29,33,7
2018-08-14,4,7,16,20,24,30,5
2018-08-16,10,11,12,21,26,33,9
2018-08-19,1,5,9,20,28,32,12
2018-08-21,1,2,17,20,25,28,13
2018-08-23,6,10,11,20,29,32,13
2018-08-26,3,7,8,14,25,32,6
2018-08-28,2,11,14,15,29,33,2
2018-08-30,1,3,14,26,29,33,9
2018-09-02,2,6,11,19,21,28,5
2018-09-04,2,9,15,22,23,24,16
2018-09-06,2,3,6,19,25,29,1
2018-09-09,4,5,13,18,19,25,1
2018-09-11,4,18,19,24,25,26,10
2018-09-13,1,2,5,12,20,22,1
2018-09-16,5,13,18,21,26,30,2
2018-09-18,10,11,18,23,31,33,15
2018-09-20,11,13,16,21,22,23,2
2018-09-23,1,7,14,24,25,28,8
2018-09-25,5,8,18,25,26,31,4
2018-09-27,1,6,9,16,25,26,9
2018-09-30,1,7,15,16,20,27,14
2018-10-02,1,13,19,24,26,29,11
2018-10-04,5,14,17,22,23,28,15
2018-10-07,8,11,15,17,23,25,5
2018-10-09,8,12,21,22,27,31,9
2018-10-11,3,13,14,16,25,27,12
2018-10-14,3,4,18,26,27,33,1
2018-10-16,6,8,14,19,23,25,11
2018-10-18,5,7,20,22,30,32,10
2018-10-21,13,21,24,27,31,32,1
2018-10-23,9,13,14,19,22,25,2
2018-10-25,3,10,11,14,15,32,2
2018-10-28,1,6,8,9,14,22,5
2018-10-30,2,5,6,7,11,15,12
2018-11-01,6,7,8,19,22,23,2
2018-11-04,2,4,6,16,18,19,16
2018-11-06,5,12,17,18,24,28,12
2018-11-08,21,22,24,31,32,33,1
2018-11-11,1,2,9,10,15,22,6
2018-11-13,2,4,11,12,18,32,13
2018-11-15,3,16,18,31,32,33,12
2018-11-18,1,3,6,10,11,29,16
2018-11-20,10,12,15,25,26,27,14
2018-11-22,3,5,11,15,20,23,9
2018-11-25,1,10,25,27,30,32,9
2018-11-27,11,18,20,23,31,32,15
2018-11-29,1,15,20,22,25,28,14
2018-12-02,11,14,16,18,24,33,4
2018-12-04,5,8,10,11,27,28,11
2018-12-06,4,6,15,28,32,33,14
2018-12-09,8,13,17,18,20,27,13
2018-12-11,3,9,13,22,23,25,6
2018-12-13,2,10,11,17,18,29,16
2018-12-16,3,15,17,23,27,30,11
2018-12-18,3,6,18,19,21,31,1
2018-12-20,1,7,8,10,12,24,1
2018-12-23,6,8,15,19,20,31,5
2018-12-25,5,15,19,25,26,29,15
2018-12-27,4,14,16,23,28,29,3
2018-12-30,1,7,17,23,25,31,11
2019-01-01,6,10,13,15,32,33,15
2019-01-03,4,5,6,8,9,18,11
2019-01-06,13,17,20,21,22,27,1
2019-01-08,8,12,16,19,26,32,3
2019-01-10,21,22,26,28,31,32,7
2019-01-13,1,5,10,19,26,28,12
2019-01-15,6,10,14,15,19,23,15
2019-01-17,2,6,9,13,28,32,12
2019-01-20,1,7,10,22,31,32,15
2019-01-22,2,4,5,8,11,30,2
2019-01-24,10,13,19,21,24,30,7
2019-01-27,7,10,21,23,31,33,14
2019-01-29,5,7,14,16,18,21,1
2019-01-31,1,2,3,14,19,33,3
2019-02-03,11,15,16,20,24,31,4
2019-02-12,5,7,9,11,19,25,5
2019-02-14,4,5,24,28,30,33,9
2019-02-17,4,11,18,19,26,32,4
2019-02-19,3,11,17,18,24,25,6
2019-02-21,2,12,13,23,27,28,12
2019-02-24,2,5,7,8,20,27,4
2019-02-26,3,7,11,21,30,33,7
2019-02-28,1,10,14,15,18,31,13
2019-03-03,1,8,23,25,28,29,10
2019-03-05,15,16,21,27,30,33,4
2019-03-07,3,13,15,19,20,27,14
2019-03-10,2,6,8,10,11,17,13
2019-03-12,4,19,22,26,29,30,11
2019-03-14,8,11,17,23,32,33,10
2019-03-17,4,5,7,10,12,22,16
2019-03-19,3,13,15,18,21,33,16
2019-03-21,4,8,9,13,28,33,4
2019-03-24,9,15,19,21,23,29,15
2019-03-26,9,11,15,22,24,26,3
2019-03-28,1,5,7,9,10,20,16
2019-03-31,2,10,13,16,23,32,8
2019-04-02,1,7,12,14,18,25,10
2019-04-04,9,12,21,27,29,30,5
2019-04-07,6,7,11,14,27,32,8
2019-04-09,5,6,9,18,23,31,11
2019-04-11,2,9,13,23,24,26,16
2019-04-14,15,17,19,22,25,26,4
2019-04-16,1,6,12,13,24,32,13
2019-04-18,6,14,16,17,23,29,7
2019-04-21,1,6,17,19,27,31,14
2019-04-23,2,12,16,22,25,32,6
2019-04-25,3,11,18,25,30,33,14
2019-04-28,3,7,10,12,18,29,10
2019-04-30,3,10,13,22,23,28,15
2019-05-02,4,6,10,11,21,23,2
2019-05-05,8,9,10,13,15,28,9
2019-05-07,3,6,9,13,16,19,16
2019-05-09,4,16,22,25,29,31,8
2019-05-12,7,10,11,15,24,26,11
2019-05-14,1,6,11,15,19,31,10
2019-05-16,13,14,17,19,21,29,1
2019-05-19,4,5,6,8,13,18,16
2019-05-21,7,8,12,21,23,27,12
2019-05-23,4,5,7,9,16,18,6
2019-05-26,3,4,14,20,23,27,1
2019-05-28,3,17,19,24,27,31,12
2019-05-30,7,13,16,23,26,30,1
2019-06-02,1,14,19,22,29,31,16
2019-06-04,12,20,24,25,30,33,12
2019-06-06,6,9,11,15,20,26,10
2019-06-09,1,14,17,20,22,32,4
2019-06-11,4,6,8,11,30,33,11
2019-06-13,3,14,20,24,26,33,10
2019-06-16,6,11,16,19,21,25,1
2019-06-18,6,15,18,19,24,32,9
2019-06-20,1,8,19,24,29,30,4
2019-06-23,2,9,13,15,22,30,15
2019-06-25,1,2,6,12,16,18,8
2019-06-27,12,21,27,29,31,33,4
2019-06-30,5,8,20,22,31,33,3
2019-07-02,12,15,19,20,29,32,14
2019-07-04,9,11,13,18,21,22,15
2019-07-07,1,17,27,29,31,33,12
2019-07-09,1,3,6,9,19,31,16
2019-07-11,3,6,8,20,24,32,7
2019-07-14,5,24,27,29,31,32,10
2019-07-16,7,16,19,22,24,28,2
2019-07-18,6,15,17,26,28,31,3
2019-07-21,4,8,14,18,20,27,3
2019-07-23,1,4,14,18,24,29,4
2019-07-25,16,22,24,26,28,31,6
2019-07-28,4,5,7,9,21,30,4
2019-07-30,13,14,15,21,23,29,13
2019-08-01,2,4,14,16,20,22,11
2019-08-04,2,3,6,8,14,22,4
2019-08-06,7,10,21,24,29,32,11
2019-08-08,9,17,27,28,32,33,8
2019-08-11,5,7,8,9,20,22,2
2019-08-13,5,10,12,18,19,27,6
2019-08-15,2,5,14,19,21,28,1
2019-08-18,5,7,12,18,27,32,11
2019-08-20,3,5,18,24,25,31,9
2019-08-22,3,11,12,14,17,26,9
2019-08-25,7,14,22,23,27,30,8
2019-08-27,1,4,12,13,30,32,8
2019-08-29,1,4,9,21,31,33,5
2019-09-01,3,8,12,16,20,32,12
2019-09-03,4,12,14,21,27,29,12
2019-09-05,1,5,16,17,18,24,10
2019-09-08,2,13,15,17,26,33,1
2019-09-10,2,14,22,27,30,33,14
2019-09-12,2,6,8,23,27,32,2
2019-09-15,7,13,19,22,25,32,13
2019-09-17,3,6,7,17,28,31,10
2019-09-19,1,18,22,26,27,28,8
2019-09-22,7,18,20,22,24,33,1
2019-09-24,3,12,14,17,23,27,1
2019-09-26,1,5,19,21,25,33,15
2019-09-29,2,4,9,11,12,30,1
2019-10-08,4,10,11,14,15,29,5
2019-10-10,1,8,9,13,16,33,1
2019-10-13,3,5,11,28,32,33,1
2019-10-15,12,14,15,25,28,31,4
2019-10-17,4,20,22,24,26,33,7
2019-10-20,10,12,27,31,32,33,3
2019-10-22,2,6,15,21,30,31,2
2019-10-24,4,10,15,19,21,23,2
2019-10-27,2,6,8,17,28,30,6
2019-10-29,4,9,30,31,32,33,1
2019-10-31,2,11,12,26,27,29,3
2019-11-03,2,14,17,29,32,33,16
2019-11-05,2,6,7,12,17,24,10
2019-11-07,3,8,12,16,17,19,8
2019-11-10,3,4,7,9,15,26,7
2019-11-12,1,7,9,11,24,32,16
2019-11-14,9,17,19,20,24,31,4
2019-11-17,4,6,11,14,19,33,7
2019-11-19,3,7,16,21,24,31,7
2019-11-21,1,4,6,22,29,30,3
2019-11-24,3,6,10,11,27,33,3
2019-11-26,12,14,15,17,29,33,12
2019-11-28,7,10,13,19,23,31,6
2019-12-01,2,6,12,30,31,32,11
2019-12-03,8,14,20,23,30,33,11
2019-12-05,2,4,9,11,14,22,5
2019-12-08,10,13,14,15,17,33,14
2019-12-10,8,14,24,27,29,33,9
2019-12-12,5,13,15,16,26,32,9
2019-12-15,2,12,15,19,27,30,3
2019-12-17,1,8,13,17,18,19,16
2019-12-19,1,4,10,12,30,32,14
2019-12-22,1,9,12,14,23,27,12
2019-12-24,9,10,13,20,26,27,8
2019-12-26,1,6,27,28,31,33,7
2019-12-29,2,9,14,22,27,29,2
2019-12-31,2,6,9,18,24,26,14
2020-01-02,2,15,23,26,29,30,2
2020-01-05,4,9,14,15,16,29,11
2020-01-07,9,17,26,29,30,32,3
2020-01-09,2,15,17,27,32,33,3
2020-01-12,11,16,17,22,26,32,4
2020-01-14,3,4,5,10,16,32,9
2020-01-16,5,12,17,20,25,31,10
2020-01-19,1,4,6,10,11,28,16
2020-01-21,3,6,8,14,19,26,12
2020-03-12,11,14,22,27,31,32,9
2020-03-15,4,5,7,17,18,29,1
2020-03-17,4,13,14,23,26,31,9
2020-03-19,2,8,10,20,21,30,14
2020-03-22,2,7,8,10,12,16,7
2020-03-24,8,9,22,24,30,33,1
2020-03-26,5,6,8,17,24,27,7
2020-03-29,2,4,7,15,20,27,4
2020-03-31,5,7,8,11,17,22,13
2020-04-02,15,19,27,28,30,33,3
2020-04-05,1,6,9,13,15,22,14
2020-04-07,2,6,14,16,27,31,7
2020-04-09,2,10,20,22,25,30,2
2020-04-12,4,5,20,21,30,33,8
2020-04-14,10,13,27,28,29,31,8
2020-04-16,1,9,10,15,20,29,2
2020-04-19,1,4,9,18,19,31,6
2020-04-21,12,13,14,24,25,28,6
2020-04-23,5,6,15,18,26,32,8
2020-04-26,1,12,18,20,30,32,5
2020-04-28,17,18,21,29,30,32,3
2020-04-30,2,5,9,15,16,27,9
2020-05-03,3,11,13,14,15,26,13
2020-05-05,7,10,12,21,31,32,1
2020-05-07,2,8,15,16,26,32,3
2020-05-10,10,14,24,25,28,33,11
2020-05-12,7,9,16,22,24,32,6
2020-05-14,1,4,11,13,17,24,15
2020-05-17,1,6,7,18,23,24,15
2020-05-19,2,9,10,11,16,29,2
2020-05-21,1,6,12,16,19,21,4
2020-05-24,6,7,16,22,24,25,13
2020-05-26,2,6,7,11,14,31,3
2020-05-28,1,11,24,25,27,30,7
2020-05-31,7,8,16,17,19,24,7
2020-06-02,2,3,15,21,22,33,16
2020-06-04,13,19,25,26,27,32,8
2020-06-07,4,10,17,19,28,32,1
2020-06-09,12,14,18,23,30,32,2
2020-06-11,1,7,9,12,18,22,4
2020-06-14,4,9,17,20,32,33,15
2020-06-16,3,6,8,11,19,28,8
2020-06-18,2,8,13,29,32,33,15
2020-06-21,2,14,15,16,32,33,1
2020-06-23,3,10,19,25,26,31,2
2020-06-25,1,5,7,23,28,30,12
2020-06-28,2,5,8,12,26,31,14
2020-06-30,9,14,21,23,26,32,3
2020-07-02,1,3,11,12,19,26,7
2020-07-05,2,4,10,17,22,25,14
2020-07-07,5,9,14,20,24,30,8
2020-07-09,8,17,24,26,27,31,4
2020-07-12,10,14,17,22,26,27,5
2020-07-14,12,15,16,22,29,32,14
2020-07-16,1,3,7,21,27,32,1
2020-07-19,9,15,18,21,23,26,8
2020-07-21,2,9,13,17,26,28,7
2020-07-23,4,7,9,23,27,30,8
2020-07-26,12,16,21,26,27,32,10
2020-07-28,3,9,10,13,18,26,4
2020-07-30,1,2,4,6,19,21,15
2020-08-02,9,11,12,13,22,23,8
2020-08-04,6,8,10,15,17,26,4
2020-08-06,5,7,11,13,27,29,3
2020-08-09,4,8,9,13,19,33,12
2020-08-11,3,11,13,20,24,30,16
2020-08-13,10,15,16,18,20,27,6
2020-08-16,3,10,16,21,25,27,12
2020-08-18,3,11,14,16,21,32,4
2020-08-20,5,12,20,21,22,29,14
2020-08-23,14,15,18,22,31,33,1
2020-08-25,1,5,13,14,27,33,15
2020-08-27,2,8,11,17,21,30,9
2020-08-30,1,19,25,26,30,31,12
2020-09-01,3,7,16,17,23,30,7
2020-09-03,1,2,5,9,19,24,16
2020-09-06,2,4,6,15,24,27,6
2020-09-08,11,15,20,23,25,33,10
2020-09-10,1,6,12,26,29,30,12
2020-09-13,2,14,16,21,29,30,10
2020-09-15,2,21,23,26,31,32,6
2020-09-17,1,9,11,12,16,19,16
2020-09-20,1,6,12,18,22,24,3
2020-09-22,4,5,10,13,15,19,15
2020-09-24,10,15,17,27,29,31,8
2020-09-27,3,9,16,17,20,26,2
2020-09-29,1,20,23,26,27,32,15
2020-10-06,2,8,21,25,26,30,10
2020-10-08,6,8,11,22,25,33,2
2020-10-11,5,6,11,12,15,30,12
2020-10-13,1,7,15,16,20,23,7
2020-10-15,10,17,24,25,28,30,15
2020-10-18,9,10,19,25,26,29,8
2020-10-20,4,9,10,22,28,32,8
2020-10-22,4,8,10,16,27,29,9
2020-10-25,6,14,19,20,22,24,1
2020-10-27,2,4,11,15,18,28,10
2020-10-29,3,9,11,24,25,28,16
2020-11-01,10,12,15,17,23,32,5
2020-11-03,6,13,16,20,23,32,13
2020-11-05,2,6,9,14,22,25,4
2020-11-08,6,9,17,22,24,26,16
2020-11-10,2,9,12,17,28,32,5
2020-11-12,1,3,7,10,22,32,11
2020-11-15,1,5,11,24,30,32,3
2020-11-17,1,4,12,20,25,32,2
2020-11-19,5,6,14,16,19,27,10
2020-11-22,7,8,9,10,16,27,7
2020-11-24,11,13,19,26,30,33,5
2020-11-26,1,9,22,28,32,33,15
2020-11-29,1,2,3,4,9,10,12
2020-12-01,2,4,6,21,25,29,3
2020-12-03,12,15,17,24,26,31,15
2020-12-06,1,3,18,19,26,29,3
2020-12-08,16,18,19,20,29,33,12
2020-12-10,5,12,16,26,30,31,13
2020-12-13,3,7,12,14,23,28,11
2020-12-15,1,4,18,19,26,31,7
2020-12-17,8,10,15,16,23,26,10
2020-12-20,1,2,5,15,28,33,4
2020-12-22,8,9,11,14,17,29,16
2020-12-24,8,19,22,26,27,30,7
2020-12-27,1,4,11,12,14,23,4
2020-12-29,3,19,22,23,27,29,7
2020-12-31,2,9,10,20,22,26,1
2021-01-03,2,3,13,18,20,31,11
2021-01-05,6,10,13,25,26,32,11
2021-01-07,6,9,16,18,22,29,11
2021-01-10,2,3,7,8,17,22,15
2021-01-12,7,9,14,26,30,31,4
2021-01-14,6,8,22,24,25,26,1
2021-01-17,2,4,12,21,25,32,16
2021-01-19,1,5,7,14,18,33,7
2021-01-21,2,4,7,24,25,32,13
2021-01-24,1,4,11,19,32,33,5
2021-01-26,5,10,16,23,27,33,14
2021-01-28,3,6,14,18,20,26,1
2021-01-31,6,9,12,16,27,31,6
2021-02-02,4,15,21,25,29,33,6
2021-02-04,6,14,16,26,28,29,7
2021-02-07,3,8,9,13,15,18,10
2021-02-21,9,15,18,29,32,33,2
2021-02-23,2,8,14,23,25,32,6
2021-02-25,12,16,17,24,28,29,8
2021-02-28,1,3,6,7,9,11,2
2021-03-02,4,8,17,24,28,33,13
2021-03-04,10,15,17,25,31,32,6
2021-03-07,2,21,22,23,27,28,11
2021-03-09,1,4,6,10,11,18,2
2021-03-11,6,8,14,17,18,30,11
2021-03-14,3,5,13,19,20,25,3
2021-03-16,5,7,9,16,20,26,8
2021-03-18,11,16,23,26,27,33,5
2021-03-21,8,10,15,17,22,30,12
2021-03-23,8,9,13,27,29,31,5
2021-03-25,6,11,21,25,28,31,7
2021-03-28,1,5,8,15,16,30,3
2021-03-30,2,12,13,14,31,33,6
2021-04-01,4,10,12,18,23,25,1
2021-04-04,12,14,18,20,26,28,11
2021-04-06,1,2,6,11,21,26,11
2021-04-08,13,17,19,24,26,30,12
2021-04-11,5,7,9,16,18,27,6
2021-04-13,2,8,21,24,29,31,13
2021-04-15,2,6,7,24,28,29,16
2021-04-18,2,9,18,23,26,32,14
2021-04-20,5,9,10,22,25,27,8
2021-04-22,2,3,17,18,23,24,1
2021-04-25,5,7,14,17,26,28,13
2021-04-27,1,4,14,15,17,32,2
2021-04-29,5,9,13,21,28,33,6
2021-05-02,3,7,13,16,24,29,1
2021-05-04,4,15,17,22,29,32,3
2021-05-06,4,11,13,22,25,32,1
2021-05-09,2,9,10,16,25,28,8
2021-05-11,8,9,10,19,27,29,15
2021-05-13,3,4,6,19,21,30,14
2021-05-16,7,10,14,16,24,33,16
2021-05-18,7,13,21,22,24,31,2
2021-05-20,3,11,12,16,22,28,10
2021-05-23,8,21,22,23,29,32,1
2021-05-25,5,6,9,17,25,33,16
2021-05-27,9,11,13,18,19,28,14
2021-05-30,1,9,11,18,32,33,14
2021-06-01,10,11,17,20,29,30,15
2021-06-03,4,9,12,18,20,23,1
2021-06-06,12,13,15,20,22,25,10
2021-06-08,4,5,6,9,23,24,9
2021-06-10,4,6,8,15,16,18,16
2021-06-13,1,4,8,19,29,33,16
2021-06-15,2,6,19,26,30,33,15
2021-06-17,1,11,19,23,25,29,9
2021-06-20,4,14,18,24,31,32,15
2021-06-22,6,11,18,20,23,26,5
2021-06-24,1,5,11,15,16,29,15
2021-06-27,1,7,24,31,32,33,8
2021-06-29,1,9,15,16,19,21,15
2021-07-01,1,6,18,22,24,25,8
2021-07-04,4,5,9,14,25,27,7
2021-07-06,12,15,16,21,22,29,1
2021-07-08,3,9,21,23,30,32,6
2021-07-11,8,15,17,25,27,30,10
2021-07-13,4,6,15,26,27,31,12
2021-07-15,1,3,10,24,28,29,13
2021-07-18,5,8,22,23,24,29,9
2021-07-20,1,3,5,18,22,23,1
2021-07-22,3,6,11,13,26,32,5
2021-07-25,4,9,11,25,28,33,4
2021-07-27,5,7,9,11,21,28,1
2021-07-29,5,6,7,11,14,20,2
2021-08-01,6,8,10,14,28,29,1
2021-08-03,2,13,16,19,23,24,4
2021-08-05,4,12,15,16,19,26,6
2021-08-08,1,2,7,13,23,24,12
2021-08-10,5,6,12,14,27,28,8
2021-08-12,4,6,16,24,26,33,16
2021-08-15,2,7,8,10,12,31,3
2021-08-17,5,11,15,23,28,33,3
2021-08-19,9,11,24,25,28,33,15
2021-08-22,8,12,17,24,27,28,13
2021-08-24,1,7,11,14,15,26,11
2021-08-26,3,11,12,13,25,28,12
2021-08-29,1,10,13,18,26,32,5
2021-08-31,9,11,17,18,20,27,15
2021-09-02,7,9,12,13,14,29,16
2021-09-05,2,4,12,22,29,31,1
2021-09-07,5,9,15,24,27,30,9
2021-09-09,10,13,15,25,29,30,15
2021-09-12,1,7,17,20,22,28,15
2021-09-14,10,14,15,22,27,32,9
2021-09-16,1,4,7,14,30,31,3
2021-09-19,2,3,17,19,25,30,1
2021-09-21,11,15,18,24,26,32,9
2021-09-23,2,3,10,17,20,26,16
2021-09-26,10,13,15,24,31,32,2
2021-09-28,17,20,22,23,26,28,6
2021-09-30,5,6,21,25,28,33,7
2021-10-05,4,7,10,22,27,30,2
2021-10-07,4,6,8,14,24,27,2
2021-10-10,2,10,12,15,24,27,8
2021-10-12,6,14,17,18,31,33,6
2021-10-14,3,5,17,21,27,33,4
2021-10-17,2,6,14,18,20,31,13
2021-10-19,3,9,10,11,28,29,13
2021-10-21,1,7,8,12,13,18,5
2021-10-24,4,5,12,16,22,30,15
