date,r1,r2,r3,r4,r5,r6,blue
2013-12-26,4,6,14,16,18,29,5
2013-12-29,8,11,13,18,28,33,10
2013-12-31,7,11,14,19,24,29,5
2014-01-02,3,9,15,20,27,29,1
2014-01-05,4,21,23,31,32,33,4
2014-01-07,6,10,11,28,30,33,12
2014-01-09,1,4,19,22,24,25,15
2014-01-12,15,18,23,27,32,33,4
2014-01-14,3,4,7,17,21,27,14
2014-01-16,8,10,12,14,18,28,14
2014-01-19,5,14,16,21,29,30,12
2014-01-21,8,9,19,20,25,32,16
2014-01-23,5,7,8,20,31,33,11
2014-01-26,9,10,13,14,21,32,2
2014-01-28,1,8,11,19,21,24,8
2014-02-09,5,9,13,15,17,21,13
2014-02-11,4,9,19,22,25,29,15
2014-02-13,2,11,19,30,32,33,9
2014-02-16,2,3,7,13,21,24,8
2014-02-18,4,6,7,14,25,26,10
2014-02-20,13,17,18,21,30,33,15
2014-02-23,2,10,15,19,20,21,7
2014-02-25,9,14,17,23,24,25,15
2014-02-27,8,10,15,17,22,29,12
2014-03-02,4,6,7,10,21,26,16
2014-03-04,7,9,13,17,21,22,10
2014-03-06,8,10,16,20,23,30,9
2014-03-09,1,5,10,14,16,30,16
2014-03-11,1,2,5,6,11,23,14
2014-03-13,8,10,14,16,30,31,1
2014-03-16,6,16,21,27,30,32,5
2014-03-18,2,7,14,16,21,29,14
2014-03-20,12,18,19,23,24,30,10
2014-03-23,4,10,16,17,21,27,14
2014-03-25,1,2,14,22,29,33,7
2014-03-27,5,13,23,28,32,33,12
2014-03-30,1,3,4,8,25,31,6
2014-04-01,7,8,9,17,32,33,6
2014-04-03,1,7,8,9,11,22,3
2014-04-06,6,13,14,24,25,30,7
2014-04-08,4,7,22,23,24,33,16
2014-04-10,3,11,15,19,20,31,7
2014-04-13,3,4,6,11,12,15,8
2014-04-15,7,11,16,18,21,22,2
2014-04-17,12,15,20,25,28,33,14
2014-04-20,2,5,9,14,24,33,9
2014-04-22,4,9,21,27,28,33,12
2014-04-24,2,4,9,11,19,22,15
2014-04-27,2,10,11,17,18,22,10
2014-04-29,8,10,11,12,19,29,15
2014-05-01,6,9,16,17,24,25,16
2014-05-04,6,7,16,17,23,32,6
2014-05-06,3,17,23,25,26,32,13
2014-05-08,10,16,19,21,23,24,13
