created_at,name,act_name,symbol,qty,cex,status,up_status,path,level,earn,cost,buy_px,benefit,sell_px,profit,order_id,client_order_id,fx_order_id,fx_client_order_id,open_at,close_at
2024-08-01 04:47:31.365,bitgetAPU,bitget,APUUSDT,54970.22,bitget,filled,0,buy->sell,1,1.2,28.83188,0.000525,30.030231186,0.0005463,1.2,1202645082751836160,98c33d24-0a1e-4278-b5f7-057a0d1858c9,1202646593808572419,39dda078-a5ba-4d3a-baea-c458d1454086,2024-08-01 04:47:31.365,2024-10-07 15:11:24.998
2024-08-01 18:11:01.836,bitgetAPU,bitget,APUUSDT,59952.04,bitget,filled,0,buy->sell,1,1.2,28.717027,0.000479,29.916068,0.000499,1.2,1202847289275260976,ef446521-20c6-446a-ac6f-9fb4f1f569af,1202849302952222730,131ac058-741b-4049-9311-0aeb2537c8b0,2024-08-01 18:11:01.836,2024-08-01 18:30:16.878
2024-08-02 22:49:31.744,bitgetAPU,bitget,APUUSDT,62695.92,bitget,filled,0,buy->sell,1,1.2,28.702192,0.000458,29.899684248,0.0004769,1.2,1203279765093163012,ac485147-90fb-4a4e-94b9-ce64637f0860,1203281148517228553,916491df-594f-43ec-911c-712198ef7fea,2024-08-02 22:49:31.744,2024-10-07 03:35:25.363
2024-08-04 01:30:01.677,bitgetAPU,bitget,APUUSDT,72202.17,bitget,filled,0,buy->sell,1,1.2,28.772565,0.000399,29.971120767,0.0004151,1.2,1203682545016446987,52dbd1a9-b312-4ae5-95b1-60425c71f508,1203683045132673029,d6f2a2dc-0e50-44f1-b37e-32c659bbd3b3,2024-08-04 01:30:01.677,2024-10-01 11:44:42.461
2024-08-05 01:06:01.744,bitgetAPU,bitget,APUUSDT,82884.38,bitget,filled,0,buy->sell,1,1.2,28.578534,0.000345,29.780358,0.000359,1.2,1204038894095114250,e12f6705-69d0-4c80-91e4-14050592ba81,1204040152952545296,ea85934d-2ce5-42fd-87d7-e92e7b4f0e99,2024-08-05 01:06:01.744,2024-08-05 02:51:31.585
2024-08-05 04:35:01.600,bitgetAPU,bitget,APUUSDT,77690.02,bitget,filled,0,buy->sell,1,1.2,28.574389,0.000368,29.770816,0.000383,1.2,1204091491292225545,f9f2620f-aaea-44d7-bc62-aee32e684a15,1204092624404422656,ce980e8f-e8ae-424d-861d-235281410888,2024-08-05 04:35:01.600,2024-08-06 09:36:32.039
2024-08-05 08:58:47.595,bitgetMEW,bitget,MEWUSDT,6796.56,bitget,filled,0,buy->sell,1,1.2,28.763042,0.004232,29.966033,0.004409,1.2,1204157873228816406,9f798a3f-53b2-433f-9cfc-fb36e11bd116,1204160259431276544,f58b4f2f-c575-4d9c-aab5-c537757e48b0,2024-08-05 08:58:47.595,2024-08-06 08:21:31.387
2024-08-05 09:09:47.062,bitgetMEW,bitget,MEWUSDT,7181.33,bitget,filled,0,buy->sell,1,1.2,28.703776,0.003997,29.903058,0.004164,1.2,1204160637937852424,a6771c36-03ef-4150-9579-eb9438835fdd,1204160889130524673,b9f6b786-813b-4063-a248-04699353e9eb,2024-08-05 09:09:47.062,2024-08-05 09:15:01.778
2024-08-05 09:10:01.325,bitgetAPU,bitget,APUUSDT,95526.19,bitget,filled,0,buy->sell,1,1.2,28.52412,0.000299,29.72775,0.000311,1.2,1204160697710878742,ebc26cc2-78bf-45bc-8f75-e99c9ab1fbed,1204160951860535305,55f52e58-5821-4e59-8ed4-8a9291f67254,2024-08-05 09:10:01.325,2024-08-05 09:27:01.873
2024-08-05 13:55:02.003,bitgetAPU,bitget,APUUSDT,105189.34,bitget,filled,0,buy->sell,1,1.2,28.643057,0.000272,29.842216,0.000284,1.2,1204232424730075143,6d0f4e2b-d7eb-495e-8ba0-9ef7016d1d29,1204235066579558401,4a8dbb13-e444-4931-a442-7f44f62a31b8,2024-08-05 13:55:02.003,2024-08-05 22:27:16.968
2024-08-05 14:17:01.618,bitgetAPU,bitget,APUUSDT,120943.36,bitget,filled,0,buy->sell,1,1.2,28.615199,0.000237,29.812538,0.000246,1.2,1204237959688822785,48421b0c-1110-43e3-8e6f-b62740b3e8cc,1204239728309379073,5e80e134-3014-4097-9ffb-223f6cb41249,2024-08-05 14:17:01.618,2024-08-05 15:23:46.439
2024-08-05 14:17:16.523,bitgetMEW,bitget,MEWUSDT,8013.89,bitget,filled,0,buy->sell,1,1.2,28.753837,0.003588,29.955921,0.003738,1.2,1204238022146203648,ccda0f21-4784-439c-b49e-4325a4685173,1204239671057129491,f0bcb9fb-08b4-4ba5-b1f2-db151564829e,2024-08-05 14:17:16.523,2024-08-05 15:18:31.789
2024-08-05 17:40:31.254,bitgetAPU,bitget,APUUSDT,117808.76,bitget,filled,0,buy->sell,1,1.2,28.698214,0.000244,29.899863,0.000254,1.2,1204289164024684566,cdd397fc-baf1-4186-8ee3-8d7bb5f9e9ff,1204291441837940757,1a5abaa3-798a-4294-9fba-8b30422073b5,2024-08-05 17:40:31.254,2024-08-05 19:58:16.950
2024-08-05 19:48:01.281,bitgetAPU,bitget,APUUSDT,123533.05,bitget,filled,0,sell->buy,1,1.2,30.092651,0.000244,31.290922,0.000253,1.2,1204321247757541407,f49b7745-e46e-4ea1-9305-6eca7e9e1f42,1204323764453187599,2ce9ed44-1a37-4355-9d8f-7358960d6d7b,2024-08-05 19:48:01.281,2024-08-05 20:18:46.353
2024-08-05 21:26:01.643,bitgetAPU,bitget,APUUSDT,128205.13,bitget,filled,0,sell->buy,1,1.2,30.051282,0.000234,31.256411,0.000244,1.21,1204345912420933644,9976f68a-25df-4c1b-9511-fc60e8079837,1204347927582679098,8e3cc1c9-03d3-46e3-b854-eb43fd74af5c,2024-08-05 21:26:01.643,2024-08-16 02:03:02.402
2024-08-05 21:45:02.182,bitgetAPU,bitget,APUUSDT,119928.04,bitget,filled,0,sell->buy,1,1.2,29.994003,0.00025,31.193283,0.00026,1.2,1204350696301469720,12f4ed12-bb57-4b66-ad3d-1fa7e3fadad9,1204352453920366602,5ea4ac18-ec1e-4b08-83fa-e35287f7a7bd,2024-08-05 21:45:02.182,2024-08-12 15:02:16.535
2024-08-06 02:55:02.180,bitgetAPU,bitget,APUUSDT,101884.87,bitget,filled,0,buy->sell,1,1.2,28.762099,0.000282,29.96434,0.000294,1.2,1204428711979065350,5d3c6ce2-f276-4f25-8b6a-3362c09aee04,1204429967241977867,c0a25303-e206-472f-b8c6-ed95053b23a8,2024-08-06 02:55:02.180,2024-08-06 04:09:01.388
2024-08-06 08:13:31.580,bitgetAPU,bitget,APUUSDT,98119.38,bitget,filled,0,sell->buy,1,1.2,30.103026,0.000307,31.300082,0.000319,1.2,1204508864465805323,b60c3d60-c460-4311-911e-1419293ddbf6,1204511383665451011,364ba7bf-9d4f-4639-a558-d2bee10fbec8,2024-08-06 08:13:31.580,2024-08-08 00:17:17.501
2024-08-06 19:16:02.079,bitgetAPU,bitget,APUUSDT,89592.35,bitget,filled,0,buy->sell,1,1.2,28.777063,0.000321,29.9776,0.000335,1.2,1204675587928170511,4223f33a-ed6c-4dd1-960b-dd7fa6f73c12,1204677852655198216,77ab4f5c-5143-4e4d-a6ae-bf92a7574436,2024-08-06 19:16:02.079,2024-08-06 22:19:46.902
2024-08-08 09:44:02.046,bitgetAPU,bitget,APUUSDT,100418.41,bitget,filled,0,sell->buy,1,1.2,30.065272,0.000299,31.270293,0.000311,1.21,1205256421257191424,8a70ce19-fdbe-467a-9145-f7917aa179a8,1205258687020212226,9efdca63-205a-45cf-aedb-a9c893a9ce53,2024-08-08 09:44:02.046,2024-08-11 22:03:37.727
2024-08-08 10:04:01.626,bitgetAPU,bitget,APUUSDT,92678.41,bitget,filled,0,sell->buy,1,1.2,28.850789,0.000311,30.046341,0.000324,1.2,1205261452572303363,eb7326bb-3431-4376-bb2b-049f0cafc76d,1205263716254949408,b4dda8c9-feed-4b57-a5ae-43eee6aea731,2024-08-08 10:04:01.626,2024-08-08 12:06:32.213
