created_at,name,act_name,symbol,qty,cex,status,up_status,path,level,earn,cost,buy_px,benefit,sell_px,profit,order_id,client_order_id,fx_order_id,fx_client_order_id,open_at,close_at
2024-10-16 13:38:17.602,bitgetNEIRO,bitget,NEIROUSDT,286.4,bitget,filled,0,buy->sell,1,1.8,28.18176,0.0984,29.98608,0.1047,1.8,1230320142014758912,0a1c5529-ab0c-4b48-8f13-34ff8b49dacf,1.2303239208561705e+18,57159b55-9112-4cd3-ae69-e84c66d5c222,2024-10-16 13:53:12.993,2024-10-16 13:53:21.903
2024-10-15 20:34:04.883,bitgetTURBO,bitget,TURBOUSDT,9092.0,bitget,filled,1,sell->buy,1,4.6,99.99936212,0.01099861,104.5993686,0.01150455,4.6,1230062386984796172,82ae1498-1062-4c13-80b6-404a3f8c90e0,1.2300659204845896e+18,5f8006df-9258-47e0-bbd6-1ddb52ea3531,2024-10-15 20:47:48.128,2024-10-16 15:00:22.374
2024-10-16 20:39:39.081,bitgetAPU,bitget,APUUSDT,118217.28,bitget,filled,1,sell->buy,1,4.6,100.236431712,0.0008479,104.835083904,0.0008868,4.6,1230426176158973956,ede9aef3-e34d-484a-9963-f38a686230d8,1.2304266967392092e+18,a920b6c0-8942-4221-bce3-e347a3c1828f,2024-10-16 20:40:54.767,2024-10-16 21:23:18.589
2024-10-16 21:54:40.160,bitgetMANEKI,bitget,MANEKIUSDT,4123.71,bitget,filled,1,sell->buy,1,1.8,30.0618459,0.00729,31.8762783,0.00773,1.81,1230445050254344197,39816b67-545b-4014-99fb-107cac18fa0a,1.2304488270069924e+18,cb379c8b-4295-4353-88ae-0c3e5b18ec69,2024-10-16 22:09:20.118,2024-10-16 22:46:15.760
2024-10-16 20:02:42.871,bitgetAPU,bitget,APUUSDT,125070.35,bitget,filled,1,sell->buy,1,4.6,100.40647698,0.0008028,105.00906586,0.0008396,4.6,1230416904343797772,44d32089-0897-4567-a93b-f8750bcdc4b4,1.2304178712483103e+18,3b106169-e201-44a0-96ad-f837438d31a4,2024-10-16 20:05:53.872,2024-10-17 00:07:42.604
2024-10-16 22:07:43.250,bitgetAPU,bitget,APUUSDT,122018.18,bitget,filled,1,sell->buy,1,4.6,100.506374866,0.0008237,105.106460252,0.0008614,4.6,1230448341751185409,94d0ee6d-ff7e-497c-b22b-0cb42f45c6a9,1.230452105140781e+18,812d1c80-61e3-4add-95b8-55f3678ec7a4,2024-10-16 22:20:27.010,2024-10-17 00:07:42.604
2024-10-16 23:51:43.738,bitgetAPU,bitget,APUUSDT,118448.33,bitget,filled,0,sell->buy,1,4.6,100.254666512,0.0008464,104.850461716,0.0008852,4.6,1230474533782962177,c4ea469b-7f16-4c85-8e4b-1b844d26416e,1.23047751681391e+18,537d74f5-4629-4ae9-a060-bd95e1fb4e12,2024-10-17 00:02:48.509,2024-10-17 00:06:16.398
2024-10-17 00:01:44.373,bitgetAPU,bitget,APUUSDT,238464.29,bitget,filled,0,sell->buy,2,18.4,200.572314319,0.0008411,218.981757507,0.0009183,18.41,1230477029972656130,60acbe88-d87e-43ef-847a-d082c417271a,1.2304777697933558e+18,b379aa64-e7a6-4246-956d-281928437f60,2024-10-17 00:03:57.285,2024-10-17 00:06:16.398
2024-10-17 00:03:42.169,bitgetAPU,bitget,APUUSDT,116679.31,bitget,filled,0,sell->buy,1,4.6,100.437550048,0.0008608,105.034714862,0.0009002,4.6,1230477524036501525,7026793e-8e68-480a-9d58-e3713ec73e08,1.2304777756695757e+18,d6195e5c-2612-4dcd-a831-b5727003fcc6,2024-10-17 00:03:57.285,2024-10-17 00:04:43.742
2024-10-17 00:04:44.355,bitgetAPU,bitget,APUUSDT,116692.92,bitget,filled,0,sell->buy,1,4.6,100.659312792,0.0008626,105.25701384,0.000902,4.6,1230477783252877343,eda14963-38e5-4059-80a3-c19e68aefdff,1.2304780242575852e+18,35102c42-be6c-4675-beea-5a567f84f25b,2024-10-17 00:05:14.203,2024-10-17 00:06:04.140
2024-10-17 00:04:44.762,bitgetAPU,bitget,APUUSDT,233385.85,bitget,filled,0,sell->buy,2,18.4,201.341972795,0.0008627,219.732777775,0.0009415,18.39,1230477786935476234,025eb43b-ebf3-41aa-acae-8ba508462980,1.230478029869564e+18,adc4fb92-2a58-4d9a-b0f2-8ac40ffc4c01,2024-10-17 00:05:19.104,2024-10-17 00:06:01.067
2024-10-16 23:52:41.593,bitgetAPU,bitget,APUUSDT,118736.64,bitget,filled,0,buy->sell,1,4.6,95.024932992,0.0008003,99.762524928,0.0008402,4.74,1230474757200953385,0d479754-1bb8-4b52-b339-30bcf456cd88,1.2304787962108475e+18,eb5e8ed2-03fc-42a8-b611-679cc8644477,2024-10-17 00:07:42.604,2024-10-17 00:08:46.973
